Identifiant de document|Reference document|1 Articles CGI|2 Articles CGI|3 Articles CGI|4 Articles CGI|5 Articles CGI|No disposition|Date mutation|Nature mutation|Valeur fonciere|No voie|B/T/Q|Type de voie|Code voie|Voie|Code postal|Commune|Code departement|Code commune|Prefixe de section|Section|No plan|No Volume|1er lot|Surface Carrez du 1er lot|2eme lot|Surface Carrez du 2eme lot|3eme lot|Surface Carrez du 3eme lot|4eme lot|Surface Carrez du 4eme lot|5eme lot|Surface Carrez du 5eme lot|Nombre de lots|Code type local|Type local|Identifiant local|Surface reelle bati|Nombre pieces principales|Nature culture|Nature culture speciale|Surface terrain
|||||||000001|10/01/2023|Vente|150000,00|53||RUE|0115|ANTOINE JEROME BALARD|34790|GRABELS|34|116||AE|199||112|47,15|174||79||||||3|2|Appartement||47|2|||
|||||||000001|10/01/2023|Vente|150000,00|53||RUE|0115|ANTOINE JEROME BALARD|34790|GRABELS|34|116||AE|199||112|47,15|174||79||||||3|3|Dépendance||0|0|||
|||||||000001|10/01/2023|Vente|150000,00|53||RUE|0115|ANTOINE JEROME BALARD|34790|GRABELS|34|116||AE|199||112|47,15|174||79||||||3|3|Dépendance||0|0|||
|||||||000001|13/01/2023|Vente|380000,00|1||RUE|0065|DE LA PINEDE|34790|GRABELS|34|116||AP|148||||||||||||0|3|Dépendance||0|0|S||807
|||||||000001|13/01/2023|Vente|380000,00|1||RUE|0065|DE LA PINEDE|34790|GRABELS|34|116||AP|148||||||||||||0|3|Dépendance||0|0|S||807
|||||||000001|13/01/2023|Vente|380000,00|1||RUE|0065|DE LA PINEDE|34790|GRABELS|34|116||AP|148||||||||||||0|2|Appartement||84|4|S||807
|||||||000001|13/01/2023|Vente|380000,00|1||RUE|0065|DE LA PINEDE|34790|GRABELS|34|116||AP|148||||||||||||0|2|Appartement||70|3|S||807
|||||||000001|17/01/2023|Vente|347000,00|95||RUE|0148|DES CINSAULTS|34790|GRABELS|34|116||AW|390||||||||||||0|1|Maison||100|4|S||227
|||||||000001|17/01/2023|Vente|164000,00|810||RUE|0108|DE LA VALSIERE|34790|GRABELS|34|116||AE|215||10|52,53|101||||||||2|2|Appartement||52|3|||
|||||||000001|17/01/2023|Vente|164000,00|810||RUE|0108|DE LA VALSIERE|34790|GRABELS|34|116||AE|215||10|52,53|101||||||||2|3|Dépendance||0|0|||
|||||||000001|18/01/2023|Vente|449800,00|5948|||B042|RIEUMASSEL|34790|GRABELS|34|116||AW|188||||||||||||0|1|Maison||111|4|S||694
